library	species	tissue	timecourse	time	submergence
859_0A	rivularis 	naive_leaflet	F	0	F
859_0B	rivularis 	naive_leaflet	F	0	F
859_0C	rivularis 	naive_leaflet	F	0	F
859_0D	rivularis 	naive_rachis	F	0	F
859_0E	rivularis 	naive_rachis	F	0	F
859_0F	rivularis 	naive_rachis	F	0	F
859_0G	amara 	naive_leaflet	F	0	F
859_0H	amara 	naive_leaflet	F	0	F
859_0I	amara 	naive_leaflet	F	0	F
859_0J	amara 	naive_rachis	F	0	F
859_0K	amara 	naive_rachis	F	0	F
859_0L	amara 	naive_rachis	F	0	F
859_0M	amara 	yong_plantlet_only	F	0	F
859_0N	amara 	yong_plantlet_only	F	0	F
859_0O	amara 	yong_plantlet_only	F	0	F
859_0P	rivularis 	leaf_not_detached	T	8	F
859_0Q	insueta 	naive_leaflet	F	0	F
859_0R	insueta 	naive_leaflet	F	0	F
859_0S	insueta 	naive_leaflet	F	0	F
859_0T	insueta 	naive_rachis	F	0	F
859_0U	insueta 	naive_rachis	F	0	F
859_0V	insueta 	naive_rachis	F	0	F
859_0W	rivularis 	leaf_not_detached	T	12	F
859_0X	rivularis 	leaf_not_detached	T	24	F
859_0Y	insueta 	naive_stem	T	8	T
859_0Z	insueta 	naive_stem	T	24	T
859_AA	insueta 	naive_stem	T	48	T
859_AB	insueta 	naive_leaf	T	8	T
859_AC	insueta 	naive_leaf	T	24	T
859_AD	insueta 	naive_leaf	T	48	T
859_AE	insueta 	leaf	T	96	T
859_AF	rivularis 	leaf	T	2	T
859_AG	insueta 	leaf	T	2	T
859_AZ	rivularis 	leaf	T	0	T
859_BA	rivularis 	leaf	T	4	T
859_BB	rivularis 	leaf	T	8	T
859_BC	rivularis 	leaf	T	12	T
859_BD	rivularis 	leaf	T	24	T
859_BE	rivularis 	leaf	T	48	T
859_BF	rivularis 	leaf	T	72	T
859_BG	amara 	leaf	T	0	T
859_BH	amara 	leaf	T	4	T
859_BI	amara 	leaf	T	8	T
859_BJ	amara 	leaf	T	12	T
859_BK	amara 	leaf	T	24	T
859_BL	amara 	leaf	T	48	T
859_BM	amara 	leaf	T	72	T
859_BN	amara 	leaf	T	2	T
859_BO	insueta 	leaf	T	0	T
859_BP	insueta 	leaf	T	4	T
859_BQ	insueta 	leaf	T	8	T
859_BR	insueta 	leaf	T	12	T
859_BS	insueta 	leaf	T	24	T
859_BT	insueta 	leaf	T	48	T
859_BU	insueta 	leaf	T	72	T
859_BV	rivularis 	leaf	T	96	T
859_BW	amara 	leaf	T	96	T
859_BX	rivularis 	leaf_not_detached	T	0	F
859_BY	rivularis 	leaf_not_detached	T	4	F
859_BZ	rivularis 	naive_rachis	T	8	T
859_CA	rivularis 	naive_rachis	T	24	T
859_CB	rivularis 	naive_rachis	T	48	T
859_CC	rivularis 	naive_leaf	T	8	T
859_CD	rivularis 	naive_leaf	T	24	T
859_CE	rivularis 	naive_leaf	T	48	T
859_CF	amara 	naive_rachis	T	8	T
859_CG	amara 	naive_rachis	T	24	T
859_CH	amara 	naive_rachis	T	48	T
859_CI	amara 	naive_leaf	T	8	T
859_CJ	amara 	naive_leaf	T	24	T
859_CK	amara 	naive_leaf	T	48	T
970_A	hirsuta	vegetative_node	T	0	T
970_B	hirsuta	vegetative_node	T	0	T
970_C	hirsuta	vegetative_node	T	0	T
970_D	hirsuta	vegetative_node	T	48	T
970_E	hirsuta	vegetative_node	T	48	T
970_F	hirsuta	vegetative_node	T	48	T
970_G	amara	vegetative_node	T	0	T
970_H	amara	vegetative_node	T	0	T
970_I	amara	vegetative_node	T	0	T
970_J	amara	vegetative_node	T	48	T
970_K	amara	vegetative_node	T	48	T
970_L	amara	vegetative_node	T	48	T
970_M	flexuosa	vegetative_node	T	0	T
970_N	flexuosa	vegetative_node	T	0	T
970_O	schulzii	vegetative_node	T	0	T
970_P	schulzii	vegetative_node	T	8	T
970_Q	schulzii	vegetative_node	T	12	T
970_R	schulzii	vegetative_node	T	24	T
970_S	flexuosa	vegetative_node	T	0	T
970_T	flexuosa	vegetative_node	T	48	T
970_U	flexuosa	vegetative_node	T	48	T
970_V	flexuosa	vegetative_node	T	48	T
