gene	pval	padj	ctrlFirst	ctrlSecond	objFirst	objSecond	ctrlRatio	objRatio	ratioSD	fisher	fisher.adj	chisqr	chisqr.adj
CARHR000010	0.1145	1	4414.93765090982	2443.74089792787	2393.94289159916	830.066443727132	0.643700914027819	0.74253596767482	0.055160351939426	1.82954529873426e-23	4.75415984165037e-22	6.1030098792586e-23	1.33400646231006e-21
CARHR000060	0.99091	1	83.3250308563844	141.237929284688	519.630319279292	1210.37483863156	0.37105420592977	0.300363450885196	0.0857661604746365	0.037776264631255	0.0953468654803925	0.0374322686586783	0.0826545941994564
CARHR000070	1	1	6.09041929908572	0	0	0	1	NA	NA	1	1	NA	NA
CARHR000090	1	1	12.1589650189527	25.6143087001117	0	0	0.321893334143713	NA	NA	1	1	NA	NA
CARHR000110	1	1	0	1184.86891089899	0	814.017959816002	0	0	0	1	1	NA	NA
CARHR000120	0.42284	1	351.883494732216	321.678204698906	1493.56117853001	666.414386094936	0.522422066203305	0.691471330968204	0.260779572971208	2.49605806358737e-15	4.0373315958432e-14	1.33222379753634e-15	1.89724526092372e-14
CARHR000130	1	1	4.99639124927577	15.1307536110672	23.2178119157905	44.4944888946827	0.248241431357723	0.342889130008699	NA	0.587349092687532	0.83805497078011	0.598493591573932	0.739767855390711
CARHR000140	1	1	0	0.727574883311085	0	5.7605013253518	0	0	NA	1	1	NA	NA
CARHR000150	1	1	0	4.51243593774538	1.17646905234998	4.46735139786078	0	0.208452600986987	NA	1	1	0.964262015705162	1
CARHR000160	0	0	102.98460159295	0	121.241325224708	74.8200185152392	1	0.61838464896742	0.405283182896029	4.27860639166228e-17	7.89647528724326e-16	1.25402619894349e-12	1.43432204113121e-11
CARHR000170	0.77197	1	731.773368624407	597.5456609272	753.61550503525	461.493526135405	0.550487394189521	0.62020401931274	0.0607757827441925	0.000340508600683259	0.0015389927574364	0.000426291838795908	0.00164074992176559
CARHR000180	0.91439	1	473.557058994009	463.667267696427	295.363274003737	240.436522657297	0.50527610680599	0.551256786292874	0.0859601107276195	0.0928658373391562	0.200631336954972	0.0998919245114506	0.185256694068938
CARHR000190	0.99989	1	2718.8936923736	3102.36494498698	3371.59467919953	3587.37261731089	0.467062857321587	0.484496410967504	0.0994853308975169	0.0504695503161999	0.12144376995369	0.0514852881603838	0.107919715362464
CARHR000200	0.99277	1	497.993610253681	242.807312305623	571.578906376645	246.689843162531	0.672236757661184	0.698522223534188	0.0694603955417462	0.274859669205585	0.476272538938297	0.288171674389924	0.429353602364014
CARHR000210	0.99982	1	471.195458617351	333.527657772697	239.314155783409	155.718883234808	0.585537371824377	0.605807950591123	0.0602827761890024	0.532234192638761	0.782671602548531	0.542571655461104	0.690207619349164
CARHR000220	0.65732	1	9.74556401928465	1.64909640121234	8.01340390775032	3.31093302062275	0.85527463387624	0.707626765119711	0.194648807514965	0.64040536122916	0.892953232067583	0.730907293341133	0.850322452436135
CARHR000230	0.7651	1	219.722357633871	242.268956710889	126.721922161657	198.511943483227	0.475598459995946	0.389633231798874	0.06695066349238	0.0163609359160768	0.0471180905008281	0.0203608548677628	0.0495626431033508
CARHR000240	0.95525	1	292.613820740913	514.428386945825	234.617601715635	531.627619782151	0.362575609991509	0.306191275499279	0.0584046896035126	0.0187748139622395	0.0529682711468859	0.0206260247984447	0.0500540281537916
CARHR000250	0.98446	1	711.046813957359	652.985179999052	186.914324485508	190.976561257688	0.521283090944919	0.494625119412194	0.0192623576335	0.383113310100274	0.615412669360297	0.390105638907278	0.541810077071006
CARHR000280	0.56844	1	30.3109997323283	18.1817059406752	18.620233130282	2.70846894336396	0.625063075191592	0.873012950623443	0.197123343343149	0.0524746661211101	0.125355173469505	0.0718015010470544	0.141809524114002
CARHR000290	1	1	2.42415090492957	16.1001699240707	1.31472898556278	2.57180069657205	0.130863146201534	0.33827838536939	NA	0.47012987012987	0.715764206601078	0.803436290140195	0.905284533611499
CARHR000310	1	1	1.08139719034412	0.984357518394262	0	0	0.523487704406377	NA	NA	1	1	NA	NA
CARHR000350	0.87529	1	60.7360520285875	613.449071593965	35.1115218644477	301.548323605293	0.0900880928701581	0.104293762196251	0.0625582650487079	0.496453398509581	0.744203046103184	0.540079906639151	0.687807645808095
CARHR000360	0.76357	1	349.233293828425	219.605396749775	443.545782538047	158.614551133485	0.6139408229659	0.736590834261086	0.0891190655354285	8.79286891740915e-06	5.31783991105298e-05	9.71742613483317e-06	5.07381888280436e-05
CARHR000370	1	1	24.3706100320599	41.0361176706701	0	0	0.37260096763781	NA	NA	1	1	NA	NA
CARHR000380	0.99988	1	1636.44571786141	1394.02160618705	1712.96355613958	1481.76503828617	0.539997809867572	0.536184375451613	0.018719285151817	0.779679337482497	1	0.782380583465029	0.889829474102253
CARHR000390	0.84134	1	574.690300628216	686.53844304403	265.48803721182	256.026791159045	0.455659057495727	0.509070927170307	0.0366641999285149	0.0420965195876981	0.10453027492253	0.0451630258344319	0.0967072633727751
CARHR000400	0.64771	1	372.538953656323	234.085186880399	251.516233111429	229.400520018384	0.61411824680553	0.52299328620714	0.0545054579332644	0.00303437065642435	0.0108513331837456	0.00311344513856864	0.00968875997433424
CARHR000410	0.9997	1	1927.1502313552	736.980417735683	2756.91709580933	1077.56695318589	0.723369265697546	0.718979935913867	0.0321870819927569	0.714808612156315	0.96503395478477	0.718988575176433	0.840545527652263
CARHR000420	0.9913	1	170.675494136344	147.227622198847	73.3194168996188	47.2799814724542	0.536878958922778	0.607958396885314	0.109249575859965	0.196867646041989	0.366484575424566	0.218634806518044	0.346168604504367
CARHR000430	0.37962	1	90.1831519431929	40.495314129353	27.7580660252457	50.9750365440279	0.690114864779082	0.352559026882278	0.171262079500988	3.22778627484444e-06	2.09498653169825e-05	3.71774175208892e-06	2.0663463173438e-05
CARHR000440	0.39881	1	87.4638386182637	387.872944852674	66.2540872838085	140.984208562425	0.184003935019708	0.319700019792517	0.0754086916220753	0.000140299040327862	0.000684871185262049	0.000143014324811696	0.000604850816517558
CARHR000450	0.99978	1	450.47521341736	442.347536313379	411.62412342205	397.111260929757	0.504551674510104	0.508972565546841	0.0188409930022357	0.846168553720368	1	0.89371388991817	0.972481349970193
CARHR000460	1	1	0	2.89527221574104	1.50497699017894	14.3405256188858	0	0.0949781794436732	NA	1	1	0.999999999999999	1
CARHR000470	0.69705	1	101.517057563197	35.7325746071515	48.3481417872654	12.9612808833854	0.739652674895319	0.788592351407183	0.122371087774753	0.592745587913467	0.843491235767853	0.57411807424162	0.717617613615046
CARHR000480	0.90273	1	73.6951790820974	285.648776343853	87.8505994364893	274.138825467391	0.205082562178463	0.242688303559742	0.0525011384650836	0.246482964506274	0.437557716496788	0.261850941583994	0.398595565719136
CARHR000500	0.96366	1	1397.19628193452	1784.33551322303	1410.34128598309	1641.6410789096	0.439158358895273	0.462106630171396	0.0311967204086599	0.0706811202331858	0.159980972760213	0.0726611711806659	0.143305070934995
CARHR000510	1	1	0	0	0	7.19099246397484	NA	0	NA	1	1	NA	NA
CARHR000520	0.94733	1	916.756173166749	1797.45052688551	794.126337033801	1830.66507517574	0.337762106750786	0.302548359972463	0.033482083922964	0.00582834606077601	0.0192668442705215	0.00638776232539	0.0181910187362265
CARHR000530	0.99782	1	1759.00038986965	2689.54645421128	946.412662659677	1415.19948306124	0.395410108406549	0.400748558299258	0.044121414463092	0.677238796813613	0.929130938626232	0.687330117606462	0.816466056369208
CARHR000540	0.38747	1	231.367498263764	283.591615504132	276.858546821772	558.760211130954	0.449292947882551	0.331321603526563	0.097675942506686	1.84161564648377e-05	0.000106145108045455	1.79642344923157e-05	8.96535588576436e-05
CARHR000550	0.99781	1	206.783653227522	410.430945735653	103.089849450487	203.149624929909	0.335027158422511	0.336631486385174	0.0458709749523546	1	1	0.999999999999999	1
CARHR000560	0.94449	1	50.657613921712	45.3110679224803	30.7012534765291	41.2211436966735	0.527855681126849	0.426866382145116	0.167874819652183	0.21490706802928	0.392175251503185	0.254438259861383	0.39002142564389
CARHR000580	0.66095	1	62.2936956026523	137.062272050336	39.2406271449778	262.499953873622	0.312474697075959	0.130047562752452	0.128587361544219	1.28857218777582e-06	8.84770103596296e-06	1.17943968617506e-06	7.06498357469685e-06
CARHR000600	1	1	0	51.3996834002551	0	57.5520575654853	0	0	0	1	1	NA	NA
CARHR000620	0.00027	0.0351229090909091	9915.37431473952	5120.80982316436	10238.501604354	15093.6312969111	0.659434217072695	0.404170530932383	0.11225957079418	0	0	0	0
CARHR000630	0.51007	1	1470.76437806668	1143.25724557383	1268.39688896864	694.060169446182	0.562644304379689	0.646331028508308	0.055533457079608	1.19062461459013e-08	1.06927057437501e-07	1.30566712534287e-08	1.00870273328316e-07
CARHR000650	0.79578	1	139.148244896371	33.8645686324758	243.73390760085	43.3990263782142	0.804265545760694	0.848853888765757	0.0715040476672061	0.19967655030507	0.370236478554597	0.266692266052574	0.404408033889111
CARHR000660	0.6494	1	20.9706995938301	61.247445227443	14.4246724978988	79.6329208919987	0.255061697626679	0.15335999974084	0.0640290403581464	0.0896612349758268	0.195023180737854	0.13541219127487	0.237565706205362
CARHR000670	0.97584	1	89.2969223492374	241.441234256407	51.322068049395	139.63664826862	0.269992804173819	0.268760018075976	0.0619936454162812	1	1	0.999999999999997	1
CARHR000680	0.3404	1	77.443310332354	162.4602557515	232.935162993961	920.026997750426	0.322810167420709	0.20203192344454	0.138573459617087	8.1643139785659e-05	0.0004157504987804	6.21139266413112e-05	0.000280995987537036
CARHR000690	0.12225	1	268.096503808034	717.929004405087	101.484289070002	620.607576815544	0.27189611381746	0.140542074858502	0.0818955417396751	3.11194066976352e-11	3.65998326223584e-10	1.09368094556231e-10	1.04407777826752e-09
CARHR000700	0.16083	1	1183.32901853744	998.619221832841	885.805359502691	1209.6243242529	0.542326805303422	0.422732085151663	0.0634554677525182	5.667981266734e-15	8.88659970118179e-14	6.51110728556954e-15	8.67479832200495e-14
CARHR000710	0.19042	1	0	51.1318259645497	10.8216002054669	72.3113112839706	0	0.130172274873855	0.0816203531493388	0.0067152386051371	0.0218420193969062	0.0180699531479259	0.044905734893165
CARHR000720	0.9887	1	1218.73204719731	447.766564418852	2324.89548407424	973.831975571564	0.731312968821132	0.704785561255149	0.0299303553697044	0.0538672073870785	0.12819666696488	0.0549309900359494	0.114069222327253
CARHR000730	0.45542	1	286.777056410994	755.790025200003	218.226825878916	1482.94636499287	0.275068205652398	0.128280193368838	0.106411199550366	2.28746087933023e-21	5.37766268498839e-20	9.74719396518996e-22	2.01205981215601e-20
CARHR000740	0.99564	1	912.924616937611	1800.7424507247	745.15439470619	1459.54225544733	0.336417325403167	0.337984998822537	0.0630098804714758	0.927518408749099	1	0.931994944587466	0.998054335436148
CARHR000750	1	1	2.19156360484914	20.2911468846248	2.00802150767937	39.5282453571972	0.0974777309824452	0.0483438127507162	NA	0.60250308478759	0.854395230700373	0.818720522015742	0.917221179903793
CARHR000770	0.58466	1	575.774123178421	63.1392358108298	672.997495903065	119.554720745191	0.901177155051641	0.849152247342397	0.0411128418239698	0.0031650644838023	0.0112530965844513	0.00433365278596046	0.0129178511007174
CARHR000780	0.82299	1	1908.55883927224	3209.64343248275	2343.55133302213	4699.79386357001	0.372896329206194	0.332732709757863	0.0251642531426307	4.99815539951131e-06	3.15716325765482e-05	4.96204447154764e-06	2.71234567957816e-05
CARHR000790	0.29002	1	0	183.015137991261	17.9725263581925	253.418770026618	0	0.0662236652302544	0.0584551221099968	9.34419502177609e-05	0.000471138834736674	0.000943167969973065	0.00335336318708312
CARHR000800	0	0	1226.92534755475	8109.64152073034	5544.25160498494	10256.9587071244	0.131410759957435	0.350875122568054	0.17157816103514	0	0	4.79465393118204e-314	2.64229019371141e-311
CARHR000810	0.86335	1	10832.0705965057	13314.0439322993	8646.09495810911	9645.4199298175	0.448605119618048	0.472683373197044	0.0274591442711085	8.31951256917132e-07	5.86629493379413e-06	8.67367045108872e-07	5.28440103261305e-06
CARHR000820	0.78652	1	451.722328081576	381.90623132729	489.669997682068	514.922258186749	0.541874823004981	0.48743158711549	0.0479973704137803	0.0216796343199658	0.0599422479767804	0.0227309544264015	0.0543284448940121
CARHR000850	0.96353	1	159.679643995389	564.333658509287	172.853496395178	471.129278892007	0.220547942203531	0.268413229403681	0.0493954856820092	0.0434589353071538	0.107440979893199	0.045829260354213	0.0979608519983213
CARHR000860	0.9811	1	490.47299815312	363.868952968426	253.294752806144	202.712033680738	0.574094479978709	0.555462682381439	0.0541971342694702	0.520057802235279	0.769563644755465	0.555222564208561	0.701394661898923
CARHR000870	0.59628	1	385.960364771756	694.966129142469	159.701215273216	463.290300741455	0.357064395169116	0.256345730508239	0.0700087332962243	2.00373839050592e-05	0.000114658066685734	2.25925319262568e-05	0.000110925428080698
CARHR000880	0.29137	1	6482.23365850722	4557.74217127649	3688.31581818518	3496.18330421731	0.587160131367264	0.513371322808626	0.0388533237112995	1.2733226630897e-22	3.17797646983224e-21	1.28094816745526e-22	2.76338355555651e-21
CARHR000890	0.42902	1	392.534446733976	211.379563392984	117.418917740309	53.6726143452193	0.649984004596041	0.68629298194379	0.130642397088036	0.465227996683546	0.710166682370787	0.428079634923702	0.579849265657862
CARHR000900	0.8703	1	15115.9123977684	6359.15172773956	42591.517791085	24379.8757714149	0.703882061046505	0.635965828474768	0.060470416716225	3.5440043308543e-75	3.55460322231106e-73	7.58101101615402e-74	6.41247750417567e-72
CARHR000910	0.7097	1	8.92746679872712	282.214258174032	26.7652144187252	339.2730026594	0.0306636460286221	0.0731213659392636	0.0671700019719087	0.0236196006294869	0.0644263703026188	0.0269384025709137	0.0627676859903442
CARHR000920	1	1	1.44025034499773	0	0	0	1	NA	NA	1	1	NA	NA
CARHR000930	1	1	0	11.4080672335471	0	8.54913617174214	0	0	NA	1	1	NA	NA
CARHR000960	1	1	0	36.7073358432935	0	11.2593328789752	0	0	NA	1	1	NA	NA
CARHR000970	1	1	3.60925163409874	12.2557866100769	0	16.1633777948325	0.227497190901747	0	NA	0.101223581757508	0.214711232220887	0.139704949693205	0.243359599149485
CARHR000980	0.88976	1	24.8744442083854	26.6448709417004	16.0724726958641	22.8121648223589	0.482817835134673	0.413337341471471	0.272690911180365	0.530377536122753	0.780529546475061	0.657272406145348	0.79154731330106
CARHR000990	1	1	14.2343410978006	2.25253357721604	13.7331042629414	0	0.863374131142672	1	NA	0.485057471264368	0.732466129394849	0.466383353743635	0.617071492992488
CARHR001000	0.92563	1	170.731790214252	218.283700082366	93.7147534815252	164.504987052305	0.438881727008022	0.362926371499655	0.095872572335099	0.0605781597014282	0.141086113262962	0.0652848800858853	0.131568132673084
CARHR001010	0.99168	1	206.648020487569	517.491679047349	245.031672064887	725.17850259278	0.285370378975617	0.252555248816417	0.041183746482256	0.133874541027669	0.269886648691452	0.145479778247622	0.251061871816311
CARHR001020	0.75197	1	772.443518261192	201.474546411894	618.346165141419	94.8506029592459	0.79312988051051	0.867006403840212	0.093285327905006	9.6943753079976e-05	0.000487535313052625	0.000106783989890775	0.000462705179927004
CARHR001030	1	1	0	0	0	17.6295299116803	NA	0	NA	1	1	NA	NA
CARHR001040	1	1	29.3189774121238	18.8198896674046	35.8268094502968	0	0.60905000866944	1	NA	6.56418577179696e-06	4.07207177473555e-05	6.76784881612617e-05	0.000303451919551456
CARHR001050	1	1	3.28297408158758	63.9918470459643	27.1039812946422	13.2915053840565	0.0487994472012511	0.670965583611464	NA	1.84921357418182e-12	2.41976823502887e-11	1.77181235955912e-11	1.84337411733079e-10
CARHR001060	1	1	0	0	53.069139845812	13.320046215609	NA	0.79936421869541	NA	1	1	NA	NA
CARHR001070	1	1	8.7674327581161	6.59654350666783	2.72927004921319	8.03043076793272	0.5706486788978	0.253656685775502	NA	0.238829811100642	0.426724637098491	0.227821949226713	0.357972176312165
CARHR001080	0.99725	1	829.235619049235	2154.30625515635	949.29589921007	2247.84433053247	0.277936645105754	0.29692031972164	0.0420156601601174	0.102969198855319	0.21770398780837	0.10539941149853	0.193244651427792
CARHR001090	0.99831	1	724.340365078378	385.524859826986	825.913429193844	481.022797154125	0.652638130129846	0.631946236199858	0.0458242918684821	0.307349530776888	0.520018156124478	0.310359325499002	0.455250418900213
CARHR001100	0.79047	1	95.8328698203622	40.0113963660413	64.9502061523891	19.4988510518905	0.705461279380476	0.769105165914127	0.111412268631355	0.347367220569304	0.570982541147154	0.379786416339536	0.531373731924203
CARHR001110	0.92273	1	1042.41762896417	971.981475154569	619.496860623563	481.070732071803	0.517483167477979	0.562888517466131	0.031194821780053	0.0161766456729418	0.0466875786908731	0.0168231520751434	0.0422227220036653
CARHR001120	0.47425	1	3481.72432465164	5735.55989911579	1418.38078474618	1773.97132932319	0.377738631046417	0.44430587042547	0.0393445897016375	4.71283162791511e-11	5.43558399041214e-10	3.8398611376797e-11	3.85810578175928e-10
CARHR001130	0.88952	1	56.0401849213687	43.7554760701248	128.798132101804	82.7097431290602	0.561549313513195	0.608951945459331	0.200468404469136	0.459337961162345	0.703929030300483	0.502146255904085	0.651543365430344
CARHR001140	1	1	0	0	0	7.70921183879482	NA	0	NA	1	1	NA	NA
CARHR001150	0.76124	1	11.7802231570133	115.113051617668	66.6730327769129	340.779592450602	0.0928356776821383	0.163633827956523	0.0688977969283859	0.0621023644292861	0.143979817467077	0.0681428711163706	0.1359717197852
CARHR001160	0.69333	1	15.0626507365789	524.171189786493	6.81495253004434	127.679404439586	0.0279334299975827	0.0506709179745228	0.0388409465240178	0.175220316182317	0.334275074796663	0.289583653169339	0.430822015423561
CARHR001180	0.83713	1	281.404792177909	326.51109307507	303.700152896612	228.847030330142	0.462900870012312	0.570278394970496	0.109296278872276	0.000292169304412549	0.00133969706257444	0.000370642691064195	0.00144336359308211
CARHR001190	1	1	0	0	11.1813338918765	31.9197945681118	NA	0.259420908254325	NA	1	1	NA	NA
CARHR001200	0.99685	1	319.82098137235	328.387923446702	190.753336726475	202.810441003679	0.493391835555898	0.484682146885134	0.0380657591452297	0.798417995273293	1	0.834660045947063	0.928684331651379
CARHR001210	0.93205	1	150.171346172611	383.326639851479	667.695785158631	886.930110055404	0.281484373149685	0.42948968444058	0.0913960122185464	1.13965868672624e-09	1.14093442406213e-08	2.07870820514267e-09	1.74048745021753e-08
CARHR001220	0.56076	1	1196.39337812501	1667.26954727054	341.961554064449	818.034668052102	0.417784288616913	0.29479540324752	0.0880087170822061	2.44247785627958e-13	3.4445035944274e-12	4.61816823783314e-13	5.47496789916777e-12
CARHR001230	0.62289	1	264.269419714689	307.844316161335	255.747884308122	462.844304688563	0.461917627812306	0.355901286187376	0.114721956071144	0.000130153252071331	0.000639855566298453	0.000144398193922478	0.000610136048948463
CARHR001240	0.18722	1	17.2686044168941	31.384000858944	78.577706566986	36.8566924912365	0.354936890203289	0.680713090794999	0.184380232928882	0.000210008155410052	0.000990249351432637	0.000221152334711829	0.000901361801673986
CARHR001250	0.99905	1	431.865536687594	254.477604468992	292.068441475546	145.420890446347	0.629226855767567	0.667601287995956	0.0922396190594253	0.201151295181545	0.372038897007901	0.212667602516682	0.338933749835105
CARHR001260	0.30233	1	110.219034363071	412.508984698273	275.395185511883	535.198985888544	0.210853503818276	0.339744838081053	0.0828665937134222	3.56083211047752e-07	2.65313632909875e-06	5.55983817012255e-07	3.49020424445456e-06
CARHR001270	0.52381	1	33.027913904673	3.48540091780247	61.8150599225426	37.0119196217339	0.904544385116821	0.625487697869469	0.253910921635613	0.00111251674260068	0.00447760348081399	0.00333304625699035	0.0102957671502393
